year,record,artist,status,Record Label ,Did Perform at Grammys,Genre
2010,Need You Now,Lady Antebellum,Winner,Capital Nashville,TRUE,General
2010,Empire State of Mind,Jay-Z,Nominee,Roc Nation,FALSE,Hip-Hop
2010,F*** You,CeeLo Green,Nominee,Warner Music Group,FALSE,Soul
2010,Love the Way You Lie,Eminem,Nominee,Aftermath Entertainment,TRUE,Rap
2010,Nothin' on You,B.o.B,Nominee,Atlantic Records,TRUE,Pop Rap
2011,Rolling in the Deep,Adele,Winner,Columbia Records,TRUE,Pop 
2011,The Cave,Mumford & Sons,Nominee,Island Records,FALSE,Folk Rock
2011,Firework,Katy Perry,Nominee,Capital Records,TRUE,Pop
2011,Grenade,Bruno Mars,Nominee,Elektra Records,TRUE,Pop
2011,Holocene,Bon Iver,Nominee,Jagjaguwar,FALSE,Experimental
2012,Somebody That I Used to Know,Gotye,Winner,Eleven: A Music Company,FALSE,Alternative Rock
2012,Lonely Boy,The Black Keys,Nominee,Nonesuch Records,TRUE,Rock
2012,Stronger (What Doesn't Kill You),Kelly Clarkson,Nominee,RCA Records,TRUE,Dance-Pop
2012,Thinkin Bout You,Frank Ocean,Nominee,Def Jam Recordings,FALSE,R&B
2012,We Are Never Ever Getting Back Together,Taylor Swift,Nominee,Big Machine Records,TRUE,Country
2012,We Are Young,Fun.,Nominee,Fueled By Ramen,TRUE,Pop
2013,Get Lucky,Daft Punk,Winner,Columbia Records,TRUE,General
2013,Blurred Lines,Robin Thicke,Nominee,Interscope Records,TRUE,R&B
2013,Locked Out of Heaven,Bruno Mars,Nominee,Atlantic Records,FALSE,Pop
2013,Radioactive,Imagine Dragons,Nominee,Interscope Records,TRUE,Rock
2013,Royals,Lorde,Nominee,Universal Music Group,FALSE,Pop
2014,Stay with Me (Darkchild Version),Sam Smith,Winner,Capital Records,TRUE,Soul
2014,All About That Bass,Meghan Trainor,Nominee,Epic Records,FALSE,Pop
2014,Chandelier,Sia,Nominee,RCA Records,TRUE,Pop
2014,Fancy,Iggy Azalea,Nominee,Def Jam Recordings,FALSE,Pop Rap
2014,Shake It Off,Taylor Swift,Nominee,Big Machine Records,FALSE,Country
2015,Uptown Funk,Mark Ronson,Winner,RCA Records,FALSE,Funk
2015,Blank Space,Taylor Swift,Nominee,Big Machine Records,TRUE,Pop
2015,Can't Feel My Face,The Weeknd,Nominee,Republic Records,TRUE,Pop
2015,Really Love,D'Angelo,Nominee,RCA Records,FALSE,Soul
2015,Thinking Out Loud,Ed Sheeran,Nominee,Asylum Records,FALSE,Soul
2016,Hello,Adele,Winner,Columbia Records,TRUE,Soul
2016,7 Years,Lukas Graham,Nominee,Copenhagen Records,TRUE,Soul
2016,Formation,Beyoncé,Nominee,Columbia Records,TRUE,R&B
2016,Stressed Out,Twenty One Pilots,Nominee,Fueled By Ramen,FALSE,Alternative Rock
2016,Work,Rihanna,Nominee,Roc Nation,FALSE,R&B
2017,24K Magic,Bruno Mars,Winner,Atlantic Records,TRUE,Funk
2017,Despacito,Luis Fonsi,Nominee,Universal Music Group,TRUE,Reggaeton
2017,HUMBLE.,Kendrick Lamar,Nominee,Aftermath Entertainment,TRUE,Hip-Hop
2017,Redbone,Childish Gambino,Nominee,Glassnote Records,TRUE,Funk
2017,The Story of O.J.,Jay-Z,Nominee,Roc Nation,FALSE,Hip-Hop
2018,This Is America,Childish Gambino,Winner,RCA Records,FALSE,Hip-Hop
2018,All the Stars,Kendrick Lamar,Nominee,Aftermath Entertainment,FALSE,Pop Rap
2018,God's Plan,Drake,Nominee,Cash Money Records,FALSE,Pop
2018,I Like It,Cardi B,Nominee,Atlantic Records,TRUE,Hip-Hop
2018,The Joke,Brandi Carlile,Nominee,Elektra Records,TRUE,Rock
2018,The Middle,Zedd,Nominee,Interscope Records,FALSE,Dance-Pop
2018,Rockstar,Post Malone,Nominee,Republic Records,TRUE,Rap
2018,Shallow,Lady Gaga,Nominee,Interscope Records,TRUE,Rock
2019,Bad Guy,Billie Eilish,Winner,Interscope Records,TRUE,Pop
2019,7 Rings,Ariana Grande,Nominee,Republic Records,TRUE,Pop
2019,Hard Place,H.E.R.,Nominee,RCA Records,TRUE,R&B
2019,"Hey, Ma",Bon Iver,Nominee,Jagjaguwar,FALSE,Experimental
2019,Old Town Road,Lil Nas,Nominee,Columbia Records,TRUE,Hip-Hop
2019,Sunflower”,Post Malone & Swae Lee,Nominee,Republic Records,TRUE,Hip-Hop
2019,Truth Hurts,Lizzo,Nominee,Atlantic Records,FALSE,Pop
